"","en"
"AAS-HOUR-1","Your online time reached one hour."
"AAS-HOUR-2","Your online time reached two hours."
"AAS-HOUR-3-5","You are restricted and now into the tiredness game time, your reward from game will be restricted to 50%. For your heath, please log out, make some exercises, and manage your life and studying better."
"AAS-HOUR-5-ABOVE","You are restricted and now into the indulgence game time. For your health, you need to log out immediately. Otherwise, your body will have physical damage. Your reward from game will be restricted to zero. You will only return to normal when your log-out time reaches 5 hours."
"AAS-REG","Your ID infomation is not completed, and you will be restricted according to regulations. Please visit http://fcm.qq.com to finish your infomation."
"boost_description_1","Increases Influence Point gain to 200%!"
"boost_description_2","Increases Experience Point gain to 200%!"
"boost_description_3","Increases Experience Point gain to 200%!"
"boost_description_4","Increases Influence Point gain to 200%!"
"boost_description_5","Increases Influence Point gain to 200%!"
"boost_description_6","Increases Experience Point gain to 200%!"
"boost_displayname_1","200% IP Boost"
"boost_displayname_2","200% XP Boost"
"boost_displayname_3","200% XP Boost"
"boost_displayname_4","200% IP Boost"
"boost_displayname_5","200% IP Boost"
"boost_displayname_6","200% XP Boost"
"chat_startup_welcome_message","Type /help for a list of commands"
"flash_character_button_abilities","Abilities"
"flash_character_button_lore","Lore"
"flash_character_button_stats","Stats"
"flash_character_button_tips","Tips"
"flash_character_heroLevel","Lvl 23"
"flash_character_lore","Lore"
"flash_character_passive_01_desc","PassiveDesc01"
"flash_character_passive_01_name","Passive01"
"flash_character_playerName","Guinsoo"
"flash_character_spell_01_cooldown","Cooldown01"
"flash_character_spell_01_desc","Desc01"
"flash_character_spell_01_name","Spell01"
"flash_character_spell_02_cooldown","Cooldown02"
"flash_character_spell_02_desc","Desc02"
"flash_character_spell_02_name","Spell02"
"flash_character_spell_03_cooldown","Cooldown03"
"flash_character_spell_03_desc","Desc03"
"flash_character_spell_03_name","Spell03"
"flash_character_spell_04_cooldown","Cooldown04"
"flash_character_spell_04_desc","Desc04"
"flash_character_spell_04_name","Spell04"
"flash_character_stats_coolDown","Cooldown"
"flash_character_stats_inventory","Inventory"
"flash_character_stats_passive","Passive"
"flash_character_stats_seconds","secs"
"flash_character_stats_stat01","Hitpoints: "
"flash_character_stats_stat02","Mana: "
"flash_character_stats_stat02_1","Energy: "
